ITEM_CODE,MODEL,ITEM_NAME,SPEC,UNIT
PHOE-2903149,2903149,2903149 Phoenix Contact TRIO-PS-2G/1AC/24DC/10 - Power supply,,PCS
PHOE-2903153,2903153,2903153 PHOENIX CONTACT TRIO-PS-2G/3AC/24DC/5 Power Supply,,PCS
PHOE-2903155,2903155,2903155 Phoenix Contact TRIO-PS-2G/3AC/24DC/20 - Power supply,,PCS
PHOE-2903326,2903326,2903326 Phoenix Contact Relay Module,,PCS
PHOE-2903331,2903331,2903331 Phoenix Contact Relay Module,,PCS
PHOE-2903334,2903334,2903334 Phoenix Contact Relay Module,,PCS
PHOE-2903350,2903350,2903350 Phoenix Contact Relay Module,,PCS
PHOE-2903370,2903370,2903370 Phoenix Contact Relay Module RIF-0-RPT-24DC/21,,PCS
PHOE-2903688,2903688,2903688 PHOENIX CONTACT REL-IR4/L-230AC/4X21 Single relay,,PCS
PHOE-2904372,2904372,2904372 Phoenix Contact Power supply,,PCS
PHOE-2904376,2904376,2904376 Phoenix Contact UNO-PS/1AC/24DC/150W Power supply,,PCS
PHOE-2904600,2904600,2904600 Phoenix Contact QUINT4-PS/1AC/24DC/5 - Power supply,,PCS
PHOE-2904601,2904601,2904601 Phoenix Contact QUINT4-PS/1AC/24DC/10A,,PCS
PHOE-2904602,2904602,2904602 Phoenix Contact QUINT4-PS/1AC/24DC/20 Power supply unit,,PCS
PHOE-2904603,2904603,2904603 Phoenix Contact QUINT4-PS/1AC/24DC/40 - Power supply,,PCS
PHOE-2904620,2904620,2904620 Phoenix Contact QUINT4-PS/3AC/24DC/5A,,PCS
PHOE-2904621,2904621,2904621 Phoenix Contact QUINT4-PS/3AC/24DC/10,,PCS
PHOE-2904623,2904623,2904623 Phoenix Contact QUINT4-PS/3AC/24DC/40A,,PCS
PHOE-2905026,2905026,2905026 Phoenix Contact MINI MCR-2-UNI-UI-2UI - Signal duplicator,,PCS
PHOE-2905489,2905489,2905489 Phoenix Contact UNO DIODE Redundancy module,,PCS
PHOE-2905744,2905744,2905744 Phoenix Contact Electronic circuit breaker,,PCS
PHOE-2906032,2906032,2906032 Phoenix Contact Electronic circuit breaker,,PCS
PHOE-2907071,2907071,2907071 Phoenix Contact QUINT4-UPS/24DC/24DC/20 - Uninterruptible power supply,,PCS
PHOE-2907379,2907379,2907379 Phoenix Contact TRIO2-DIODE/12-24DC/2X20/1X40 - Redundancy module,,PCS
PHOE-2907380,2907380,2907380 Phoenix Contact TRIO2-DIODE Redundancy module,,PCS
PHOE-2907719,2907719,2907719 Phoenix Contact QUINT4-DIODE/12-24DC/2X20/1X40 - Redundancy module,,PCS
PHOE-2908214,2908214,2908214 Phoenix Contact Relay base,,PCS
PHOE-2908341,2908341,2908341 Phoenix Contact Relay Base,,PCS
PHOE-2909509,2909509,2909509 Phoenix Contact PLC-RSC- 24DC/21-21/EX - Relay module,,PCS
PHOE-2909642,2909642,2909642 REL-MR-24DC/21/MS Phoenix Contact Single relay,,PCS
PHOE-2938222,2938222,2938222 Phoenix Contact QUINT-PS-3X400-500AC/48DC/2,,PCS
PHOE-2938581,2938581,2938581 Phoenix Contact QUINT-PS-100-240AC/24DC/5,,PCS
PHOE-2938617,2938617,2938617 Phoenix Contact QUINT-PS-3X400-500AC/24DC/1,,PCS
PHOE-2938730,2938730,2938730 Phoenix Contact Power supply unit MINI-PS-100-240AC/24DC/2,,PCS
PHOE-2938879,2938879,2938222 Phoenix Contact QUINT-PS-100-240AC/24DC/40,,PCS
PHOE-2939027,2939027,2939027 Phoenix Contact CM-SI-2AF Fuse,,PCS
PHOE-2961105,2961105,2961105 Phoenix Contact REL-MR- 24DC/21,,PCS
PHOE-2961118,2961118,2961118 Phoenix Contact Single Relay,,PCS
PHOE-2961192,2961192,2961192 Phoenix Contact Single Relay,,PCS
PHOE-2961312,2961312,2961312 REL-MR-24DC/21HC Phoenix Contact Single relay,,PCS
PHOE-2961422,2961422,2961422 Phoenix Contact REL-MR-230AC/21HC Single relay,,PCS
PHOE-2961451,2961451,2961451 Phernix Contact Single Relay,,PCS
PHOE-2964500,2964500,2964500 Phoenix Contact DEK-REL-G24/21 - Relay module,,PCS
PHOE-2966016,2966016,2966016 Phoenix Contact Relay base PLC-BSC-24DC/21,,PCS
PHOE-2966045,2966045,2966045 Phoenix Contact Relay Base,,PCS
PHOE-2966058,2966058,2966058 Phoenix Contact PLC-BSC- 24DC/ 1/ACT - Relay base,,PCS
PHOE-2966171,2966171,2966171 Phoenix Contact Relay Module,,PCS
PHOE-2966207,2966207,2966207 Phoenix Contact Relay Module,,PCS
PHOE-2966210,2966210,2966210 PHOENIX PLC-RSC-24DC/1/ACT Relay module,,PCS
PHOE-2966265,2966265,2966265 Phoenix Contact Slim Relay 24Vdc with Socket,,PCS
PHOE-2966595,2966595,2966595 OPT-24DC/24DC/2A SSR Phoenix Contact,,PCS
PHOE-2966621,2966621,2966621 Phoenix Contact Relay Module,,PCS
PHOE-2966634,2966634,2966634 Phoenix Contact PLC-OSC- 24DC/ 24DC/ 2 - SSR module,,PCS
PHOE-2966692,2966692,2966692 FBST 500-PLC BU Phoenix Contact Cont. Plug-in Bridge Blue,,PCS
PHOE-2966786,2966786,2966786 FBST 500-PLC RD Phoenix Contact Cont. plug-in bridge Red,,PCS
PHOE-2966838,2966838,2966838 FBST 500-PLC GY Phoenix Contact Cont. Plug-in Bridge Gray,,PCS
PHOE-2967060,2967060,2967060 Phoenix Contact Relay Module,,PCS
PHOE-2967073,2967073,2967073 Phoenix Contact Relay Module,,PCS
PHOE-2967099,2967099,2967099 Phoenix Contact Relay Module,,PCS
PHOE-2967109,2967109,2967109 Phoenix Contact Relay Module,,PCS
PHOE-2967248,2967248,2967248 Phoenix Contact Relay Module,,PCS
PHOE-2981936,2981936,2981936 PSR-SCP-24DC/SIM4 Phoenix Contact Safety Relays,,PCS
PHOE-2986575,2986575,2986575 Phoenix Contact PSR-SCP- 24DC/FSP2/2X1/1X2 - Coupling relay,,PCS
PHOE-2987943,2987943,2987943 Phoenix Contact Single relay REL-MR-24DC/21-21/MS,,PCS
PHOE-3000159,3000159,3000159 Phoenix Contact FBRNI 4-5N Fixed bridge,,PCS
PHOE-3000515,3000515,3000515 Phoenix Contact FBRI 20-5 N - Fixed Bridge,,PCS
PHOE-3000611,3000611,3000611 Phoenix Contact Ground modular terminal USLKG 3 N,,PCS
PHOE-3001022,3001022,3001022 Phoenix Contact End cover D-UK 2.5,,PCS
PHOE-3001035,3001035,3001035 Phoenix Contact Feed-through terminal UK 2.5 B,,PCS
PHOE-3001501,3001501,3001501 Phoenix Contact Feed-through terminal UK 3 N,,PCS
PHOE-3001592,3001592,3001592 Phoenix Contact FBSR 4-5 Plug-in bridge,,PCS
PHOE-3002001,3002001,3002001 Phoenix Contact Junction box E AB A 180X130X100 20PT,,PCS
PHOE-3002018,3002018,3002018 Phoenix Contact Terminal UK 3,,PCS
PHOE-3003017,3003017,3003017 Phoenix Contact Feed-through terminal UK 4,,PCS
PHOE-3003020,3003020,3003020 Phoenix Contact End cover D-UK 4/10,,PCS
PHOE-3003185,3003185,3003185 Phoenix Contact FB 10-8-EX Fixed bridge,,PCS
PHOE-3003224,3003224,3003224 Phoenix Contact Partition plate ATP-UK,,PCS
PHOE-3003347,3003347,3003347 Phoenix Contact Feed-through terminal UK 2.5 N,,PCS
PHOE-3003923,3003923,3003923 Phoenix Contact Ground modular terminal USLKG 10 N,,PCS
PHOE-3004016,3004016,3004016 Phoenix Contact Terminal UK 5,,PCS
